gene
ACADVL
AHCTF1P1///AHCTF1
AURKB
C2orf47
CCNA2
CCNF
CDCA2
CDCA3
CDCA5
CENPA
CPSF3
CTSV
CXCL6
DARS2
DDIAS
DDX39A
DEPDC1B
DNA2
E2F8
EXO1
FAM3B
FAM72A///FAM72D///FAM72B///FAM72C
FASTKD5
FBXW8
FEN1
FHDC1
GNAI1
GTF2H2C_2///GTF2H2C///GTF2H2B///GTF2H2
HIST1H2AC
HIST2H2BE
HMMR
HNRNPF
HOXB2
IDH3B
IRF8
IRX2
KIAA1324L
KIF15
KIF23
KIF4A
KIFC1
LMNB1
MAGEA11
MAT2A
MCM3
MDC1
MIR1292///SNORD110///SNORD86///SNORD57///NOP56
MIR1908///FADS1
MIR636///SRSF2
MMP9
MSH2
MYBL2
NEK2
NEMP1
NFE2L2///CSNK2A1
NSFL1C
NUP160
NUP35
OIP5
ORC1
PLK1
POLE2
PRIM1
PTPN20
PTTG1
RACGAP1
RAD54B
RDM1
RFC4
RNASEH2A
RRM2
SLX1B-SULT1A4///SLX1A-SULT1A3///SULT1A4///SULT1A3
SNRNP25
SNRPB
SPAG5
SPC25
TIMM10
TRMT6
UBE2C
VNN1
VPS28
WDR76
WEE1
