dataset,n,pearson_r,pearson_p,spearman_rho,spearman_p,score_pearson_r,score_spearman_rho
GEO GSE39582,585,0.5894,5.3620e-56,0.6346,2.9133e-67,0.8254,0.944
TCGA-COAD,329,0.5432,1.2006e-26,0.3823,6.8180e-13,0.7232,0.448
