Model,CV_Accuracy_Mean,CV_Accuracy_Std,CV_ROC_AUC_Mean,CV_ROC_AUC_Std,Holdout_Accuracy,Holdout_ROC_AUC
Logistic Regression,0.9209923664122137,0.018230019706093684,0.9810863883591157,0.004123795565715401,0.9090909090909091,0.9833970026447253
Random Forest,0.9179967615082119,0.022020085730371133,0.9787631560358833,0.004733815940095907,0.9393939393939394,0.9880987364090508
XGBoost,0.9088248901226,0.01263251145152449,0.978301900120082,0.005957022075864832,0.9272727272727272,0.9910373200117543
Neural Network (MLP),0.9027527180198935,0.009905192488377915,0.9781217772126863,0.004771536674757858,0.896969696969697,0.9811930649426976
