Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,interstrand cross-link repair (GO:0036297),2/55,0.0013666584956143,0.0088171515846085,0,0,41.77568134171908,275.5267677897696,FANCI;NEIL3
GO_Biological_Process_2021,mitotic DNA damage checkpoint signaling (GO:0044773),2/59,0.0015708812917978,0.0098180080737367,0,0,38.83625730994152,250.73147869740143,CHEK2;CHEK1
GO_Biological_Process_2021,negative regulation of cell cycle process (GO:0010948),2/64,0.0018453715711163,0.0111840701279779,0,0,35.69534050179212,224.7048323380627,CHEK1;FBXO5
GO_Biological_Process_2021,mitotic nuclear division (GO:0140014),2/74,0.0024576407666974,0.014456710392338,0,0,30.72222222222222,184.5961136225927,CHEK2;NUSAP1
GO_Biological_Process_2021,G1/S transition of mitotic cell cycle (GO:0000082),2/85,0.0032270347482887,0.0184401985616498,0,0,26.63587684069612,152.78849293856263,ORC1;FBXO5
GO_Biological_Process_2021,positive regulation of cell cycle process (GO:0090068),2/101,0.0045213816583109,0.0249522034797582,0,0,22.31313131313131,120.46720485255872,PLK4;NUSAP1
GO_Biological_Process_2021,de novo centriole assembly involved in multi-ciliated epithelial cell differentiation (GO:0098535),1/5,0.0049904406959516,0.0249522034797582,0,0,262.8421052631579,1393.123889480945,PLK4
GO_Biological_Process_2021,trophoblast giant cell differentiation (GO:0060707),1/5,0.0049904406959516,0.0249522034797582,0,0,262.8421052631579,1393.123889480945,PLK4
GO_Biological_Process_2021,"DNA replication, synthesis of RNA primer (GO:0006269)",1/5,0.0049904406959516,0.0249522034797582,0,0,262.8421052631579,1393.123889480945,PRIM1
GO_Biological_Process_2021,de novo centriole assembly (GO:0097742),1/5,0.0049904406959516,0.0249522034797582,0,0,262.8421052631579,1393.123889480945,PLK4
KEGG_2021_Human,Cellular senescence,2/156,0.0104746714639064,0.0272341458061568,0,0,14.304473304473303,65.21116391701504,CHEK2;CHEK1
GO_Biological_Process_2021,positive regulation of centriole replication (GO:0046601),1/6,0.0059856908667451,0.0285032898416436,0,0,210.26315789473685,1076.2074808846232,PLK4
GO_Biological_Process_2021,negative regulation of meiotic cell cycle (GO:0051447),1/6,0.0059856908667451,0.0285032898416436,0,0,210.26315789473685,1076.2074808846232,FBXO5
GO_Biological_Process_2021,negative regulation of double-strand break repair via nonhomologous end joining (GO:2001033),1/7,0.0069799958941807,0.0311335527105135,0,0,175.21052631578948,869.8689177892479,AUNIP
GO_Biological_Process_2021,microtubule cytoskeleton organization involved in mitosis (GO:1902850),2/128,0.0071607171234181,0.0311335527105135,0,0,17.50793650793651,86.47423962180392,NUSAP1;CENPN
GO_Biological_Process_2021,phosphorylation (GO:0016310),3/400,0.007029303943748,0.0311335527105135,0,0,8.704845162246258,43.15572873971548,PLK4;CHEK2;CHEK1
GO_Biological_Process_2021,negative regulation of meiotic nuclear division (GO:0045835),1/7,0.0069799958941807,0.0311335527105135,0,0,175.21052631578948,869.8689177892479,FBXO5
GO_Biological_Process_2021,G2/M transition of mitotic cell cycle (GO:0000086),2/130,0.0073783141926676,0.0312009725451224,0,0,17.23263888888889,84.5986448078777,PLK4;CHEK2
GO_Biological_Process_2021,cell cycle G2/M phase transition (GO:0044839),2/131,0.0074882334108293,0.0312009725451224,0,0,17.098191214470283,83.68576954910893,PLK4;CHEK2
GO_Biological_Process_2021,regulation of meiotic nuclear division (GO:0040020),1/8,0.0079733565142536,0.0318934260570144,0,0,150.17293233082708,725.5830081396662,FBXO5
GO_Biological_Process_2021,multi-ciliated epithelial cell differentiation (GO:1903251),1/8,0.0079733565142536,0.0318934260570144,0,0,150.17293233082708,725.5830081396662,PLK4
GO_Biological_Process_2021,regulation of intracellular signal transduction (GO:1902531),3/437,0.0089583154887937,0.0338331075332733,0,0,7.947682298725942,37.47469756892738,EXO1;CHEK2;CHEK1
GO_Biological_Process_2021,negative regulation of ubiquitin protein ligase activity (GO:1904667),1/9,0.0089657734963174,0.0338331075332733,0,0,131.39473684210526,619.439581424405,FBXO5
GO_Biological_Process_2021,regulation of mitotic centrosome separation (GO:0046602),1/9,0.0089657734963174,0.0338331075332733,0,0,131.39473684210526,619.439581424405,CHEK1
GO_Biological_Process_2021,regulation of G2/M transition of mitotic cell cycle (GO:0010389),2/149,0.0095928139492284,0.0353154183963096,0,0,14.99092970521542,69.65896780574519,PLK4;FBXO5
GO_Biological_Process_2021,mitotic DNA replication checkpoint signaling (GO:0033314),1/10,0.0099572476243861,0.0353154183963096,0,0,116.78947368421052,538.3357753631753,ORC1
GO_Biological_Process_2021,mitotic spindle organization (GO:0007052),2/157,0.010603500811,0.0353154183963096,0,0,14.21146953405018,64.61345620592064,CHEK2;CENPN
GO_Biological_Process_2021,regulation of histone H3-K9 acetylation (GO:2000615),1/11,0.0109477797028559,0.0353154183963096,0,0,105.10526315789474,474.5101770765117,CHEK1
GO_Biological_Process_2021,formation of extrachromosomal circular DNA (GO:0001325),1/11,0.0109477797028559,0.0353154183963096,0,0,105.10526315789474,474.5101770765117,EXO1
GO_Biological_Process_2021,negative regulation of centrosome duplication (GO:0010826),1/11,0.0109477797028559,0.0353154183963096,0,0,105.10526315789474,474.5101770765117,CCNF
GO_Biological_Process_2021,telomere maintenance via telomere trimming (GO:0090737),1/11,0.0109477797028559,0.0353154183963096,0,0,105.10526315789474,474.5101770765117,EXO1
GO_Biological_Process_2021,chromatin-mediated maintenance of transcription (GO:0048096),1/11,0.0109477797028559,0.0353154183963096,0,0,105.10526315789474,474.5101770765117,CHEK1
GO_Biological_Process_2021,t-circle formation (GO:0090656),1/11,0.0109477797028559,0.0353154183963096,0,0,105.10526315789474,474.5101770765117,EXO1
GO_Biological_Process_2021,double-strand break repair (GO:0006302),2/164,0.0115250583407572,0.0365874867960546,0,0,13.592592592592592,60.6668891658796,CHEK2;AUNIP
GO_Biological_Process_2021,depurination (GO:0045007),1/12,0.0119373705403343,0.0373042829385448,0,0,95.54545454545456,423.0830518492731,NEIL3
GO_Biological_Process_2021,negative regulation of DNA-dependent DNA replication (GO:2000104),1/13,0.0129260209528938,0.0380177086849819,0,0,87.57894736842105,380.8381798737429,FBXO5
GO_Biological_Process_2021,negative regulation of cellular senescence (GO:2000773),1/13,0.0129260209528938,0.0380177086849819,0,0,87.57894736842105,380.8381798737429,FBXO5
GO_Biological_Process_2021,protein phosphorylation (GO:0006468),3/496,0.012626435321272,0.0380177086849819,0,0,6.975420594201169,30.496278106873785,PLK4;CHEK2;CHEK1
GO_Biological_Process_2021,chromatin organization involved in regulation of transcription (GO:0034401),1/13,0.0129260209528938,0.0380177086849819,0,0,87.57894736842105,380.8381798737429,CHEK1
GO_Biological_Process_2021,mitotic intra-S DNA damage checkpoint signaling (GO:0031573),1/15,0.0149005037888985,0.0415045161931519,0,0,75.06015037593986,315.7300332957057,CHEK2
GO_Biological_Process_2021,negative regulation of ubiquitin-protein transferase activity (GO:0051444),1/15,0.0149005037888985,0.0415045161931519,0,0,75.06015037593986,315.7300332957057,FBXO5
GO_Biological_Process_2021,establishment of spindle localization (GO:0051293),1/15,0.0149005037888985,0.0415045161931519,0,0,75.06015037593986,315.7300332957057,NUSAP1
GO_Biological_Process_2021,regulation of mitotic cell cycle phase transition (GO:1901990),2/188,0.0149416258295347,0.0415045161931519,0,0,11.824372759856631,49.70498395663007,PLK4;FBXO5
KEGG_2021_Human,Mismatch repair,1/23,0.0227609834903901,0.0422703979107244,0,0,47.74641148325359,180.6107068727385,EXO1
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,2/219,0.0199196902163646,0.0422703979107244,0,0,10.119303635432669,39.62766437665813,CHEK2;CHEK1
GO_Biological_Process_2021,negative regulation of cell aging (GO:0090344),1/17,0.0168712348172723,0.0455979319385739,0,0,65.67105263157895,268.0787715603985,FBXO5
GO_Biological_Process_2021,DNA replication checkpoint signaling (GO:0000076),1/17,0.0168712348172723,0.0455979319385739,0,0,65.67105263157895,268.0787715603985,ORC1
GO_Biological_Process_2021,cellular protein modification process (GO:0006464),4/1025,0.0172133235393947,0.0459021961050526,0,0,4.642262487757101,18.8572024749942,PLK4;CHEK2;CCNF;CHEK1
GO_Biological_Process_2021,regulation of catabolic process (GO:0009894),1/18,0.0178551954764704,0.0463771311077153,0,0,61.80495356037152,248.79341471282052,CHEK2
GO_Biological_Process_2021,mitochondrial fission (GO:0000266),1/18,0.0178551954764704,0.0463771311077153,0,0,61.80495356037152,248.79341471282052,MTFR2
GO_Biological_Process_2021,nuclear membrane organization (GO:0071763),1/19,0.0188382206720142,0.0476916979038336,0,0,58.36842105263158,231.8316321803268,NEMP1
GO_Biological_Process_2021,regulation of centriole replication (GO:0046599),1/19,0.0188382206720142,0.0476916979038336,0,0,58.36842105263158,231.8316321803268,PLK4
GO_Biological_Process_2021,"base-excision repair, AP site formation (GO:0006285)",1/20,0.019820311238232,0.0483422225322734,0,0,55.29362880886426,216.80897525048425,NEIL3
GO_Biological_Process_2021,positive regulation of G2/M transition of mitotic cell cycle (GO:0010971),1/20,0.019820311238232,0.0483422225322734,0,0,55.29362880886426,216.80897525048425,FBXO5
GO_Biological_Process_2021,regulation of nuclear division (GO:0051783),1/20,0.019820311238232,0.0483422225322734,0,0,55.29362880886426,216.80897525048425,FBXO5
GO_Biological_Process_2021,error-prone translesion synthesis (GO:0042276),1/21,0.0208014680109953,0.0483755070023146,0,0,52.526315789473685,203.4203291515269,POLE2
GO_Biological_Process_2021,aerobic respiration (GO:0009060),1/21,0.0208014680109953,0.0483755070023146,0,0,52.526315789473685,203.4203291515269,MTFR2
GO_Biological_Process_2021,nuclear envelope organization (GO:0006998),1/21,0.0208014680109953,0.0483755070023146,0,0,52.526315789473685,203.4203291515269,NEMP1
GO_Biological_Process_2021,regulation of ubiquitin protein ligase activity (GO:1904666),1/21,0.0208014680109953,0.0483755070023146,0,0,52.526315789473685,203.4203291515269,FBXO5
