Model_A,Model_B,AUC_Difference,Bootstrap_p_value,Significant
Logistic Regression,Random Forest,-0.0021171125043543183,0.5793380939338955,No
Logistic Regression,XGBoost,-0.006152691041142011,0.10474503797289447,No
Logistic Regression,Neural Network (MLP),0.0036488024820418566,0.238430896726745,No
Random Forest,XGBoost,-0.004035578536787693,0.23107030311839338,No
Random Forest,Neural Network (MLP),0.005765914986396176,0.17347325130051838,No
XGBoost,Neural Network (MLP),0.009801493523183867,0.036910681545159196,Yes
