Model,CV_Accuracy_Mean,CV_Accuracy_Std,CV_ROC_AUC_Mean,CV_ROC_AUC_Std,Holdout_Accuracy,Holdout_ROC_AUC
Logistic Regression,0.9165865934568748,0.028560158547135107,0.9801228177219674,0.009237019973279834,0.9487179487179487,0.9938632378725891
Random Forest,0.9231297185998628,0.029012411008746304,0.9831814513748107,0.00936535513418569,0.9316239316239316,0.9845119812974868
XGBoost,0.9123541523678792,0.02206522167404607,0.9756470565079616,0.011951830633031488,0.9487179487179487,0.9915254237288137
Neural Network (MLP),0.9123999084877603,0.032661217082058436,0.9711063436140688,0.0184079548179129,0.9316239316239316,0.9827586206896551
