covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
High_Proliferation,-0.17021165385691228,0.843486270579653,0.16722861134115832,-0.49797370927022905,0.15755040155640448,0.6077609131703826,1.1706397585606412,0.0,-1.0178381109059642,0.30875489720357246,1.6954660752255868
Age,0.030021733281453408,1.03047692935529,0.0061918018480880375,0.017886024659792304,0.04215744190311451,1.0180469375310826,1.0430586869685332,0.0,4.848626299422647,1.2431936827366126e-06,19.617517491472764
Is_Male,0.3540066695619207,1.4247646890045151,0.14854557044884137,0.06286270141923422,0.6451506377046071,1.0648806225956995,1.906274164409169,0.0,2.3831519747930785,0.017165106369426253,5.864377392300804
Stage,0.7246763304290345,2.0640629174782044,0.10409876624220309,0.5206464977592624,0.9287061630988065,1.6831154283907905,2.5312320566046496,0.0,6.9614305393683,3.3683462900439004e-12,38.111096673270346
