Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.6333333333333333,0.6111111111111112,0.7333333333333333,0.6666666666666666,0.7155555555555556
Random Forest,0.6166666666666667,0.6206896551724138,0.6,0.6101694915254238,0.7011111111111111
XGBoost,0.7,0.75,0.6,0.6666666666666666,0.7244444444444444
Neural Network (MLP),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7377777777777778
