dataset,logrank_p
geo,0.0373845754789263
tcga,0.0341962063212043
synthetic,0.6080745383029049
cptac,0.3559059792910405
geo17538,0.8849046936241268
geo_pan,0.9379278584702696
tcga_read,0.2711302684097272
tcga_pan,0.0086734756270931
