Model,Threshold,Sensitivity,Specificity,PPV,NPV,Net_Benefit,NNT
Logistic Regression,0.5,0.8795180722891566,0.926829268292683,0.9240506329113924,0.8837209302325582,0.40606060606060607,2.462686567164179
Logistic Regression,0.6,0.8674698795180723,0.9634146341463414,0.96,0.8777777777777778,0.40909090909090906,2.4444444444444446
Random Forest,0.5,0.9518072289156626,0.9024390243902439,0.9080459770114943,0.9487179487179487,0.4303030303030303,2.323943661971831
Random Forest,0.6,0.891566265060241,0.9512195121951219,0.9487179487179487,0.896551724137931,0.4121212121212121,2.4264705882352944
XGBoost,0.5,0.9397590361445783,0.9146341463414634,0.9176470588235294,0.9375,0.4303030303030303,2.323943661971831
XGBoost,0.6,0.927710843373494,0.926829268292683,0.927710843373494,0.926829268292683,0.4121212121212121,2.4264705882352944
Neural Network (MLP),0.5,0.927710843373494,0.8658536585365854,0.875,0.922077922077922,0.4,2.5
Neural Network (MLP),0.6,0.891566265060241,0.8780487804878049,0.8809523809523809,0.8888888888888888,0.3575757575757576,2.796610169491525
